lang,lang_abv,simplifiedName,commonName,avgHueColor,cnt
German (Deutsch),de,violet,violet,"rgb(154, 0, 255)",9
German (Deutsch),de,rotorange,rot orange,"rgb(255, 76, 0)",8
German (Deutsch),de,fuchsia,fuchsia,"rgb(255, 0, 151)",8
German (Deutsch),de,grasgrun,grasgrün,"rgb(117, 255, 0)",8
German (Deutsch),de,turkies,türkies,"rgb(0, 255, 214)",8
Greek (modern) (ελληνικά),el,μπλε,μπλε,"rgb(0, 93, 255)",127
Greek (modern) (ελληνικά),el,γαλαζιο,γαλάζιο,"rgb(0, 201, 255)",84
Greek (modern) (ελληνικά),el,πορτοκαλι,πορτοκαλί,"rgb(255, 138, 0)",82
Greek (modern) (ελληνικά),el,πρασινο,πράσινο,"rgb(0, 255, 54)",72
Greek (modern) (ελληνικά),el,κοκκινο,κόκκινο,"rgb(255, 0, 45)",70
Greek (modern) (ελληνικά),el,φουξια,φούξια,"rgb(255, 0, 187)",59
Greek (modern) (ελληνικά),el,μωβ,μωβ,"rgb(180, 0, 255)",53
Greek (modern) (ελληνικά),el,κιτρινο,κίτρινο,"rgb(255, 236, 0)",48
Greek (modern) (ελληνικά),el,τιρκουαζ,τιρκουάζ,"rgb(0, 255, 231)",45
Greek (modern) (ελληνικά),el,λαχανι,λαχανί,"rgb(51, 255, 0)",40
Greek (modern) (ελληνικά),el,ροζ,ροζ,"rgb(255, 0, 175)",37
Greek (modern) (ελληνικά),el,ανοιχτοπρασινο,ανοιχτό πράσινο,"rgb(63, 255, 0)",18
Greek (modern) (ελληνικά),el,θαλασσι,θαλασσί,"rgb(0, 202, 255)",11
Greek (modern) (ελληνικά),el,μουσταρδι,μουσταρδί,"rgb(255, 194, 0)",10
Greek (modern) (ελληνικά),el,κυανο,κυανό,"rgb(0, 237, 255)",8
Hebrew (modern) (עברית),he,כחול,כחול,"rgb(0, 94, 255)",78
Hebrew (modern) (עברית),he,ירוק,ירוק,"rgb(0, 255, 53)",60
Hebrew (modern) (עברית),he,תכלת,תכלת,"rgb(0, 210, 255)",52
Hebrew (modern) (עברית),he,ורוד,ורוד,"rgb(255, 0, 169)",48
Hebrew (modern) (עברית),he,צהוב,צהוב,"rgb(255, 243, 0)",47
Hebrew (modern) (עברית),he,כתום,כתום,"rgb(255, 137, 0)",46
Hebrew (modern) (עברית),he,אדום,אדום,"rgb(255, 0, 36)",45
Hebrew (modern) (עברית),he,טורקיז,טורקיז,"rgb(0, 255, 211)",34
Hebrew (modern) (עברית),he,סגול,סגול,"rgb(179, 0, 255)",31
Hebrew (modern) (עברית),he,ורודפוקסיה,ורוד פוקסיה,"rgb(255, 0, 200)",12
Hebrew (modern) (עברית),he,כחולבהיר,כחול בהיר,"rgb(0, 172, 255)",11
Hebrew (modern) (עברית),he,ירקרק,ירקרק,"rgb(0, 255, 60)",10
Hebrew (modern) (עברית),he,פוקסיה,פוקסיה,"rgb(255, 0, 173)",8
Hungarian (magyar),hu,kek,kék,"rgb(0, 128, 255)",120
Hungarian (magyar),hu,zold,zöld,"rgb(0, 255, 50)",59
Hungarian (magyar),hu,lila,lila,"rgb(209, 0, 255)",51
Hungarian (magyar),hu,piros,piros,"rgb(255, 0, 42)",49
Hungarian (magyar),hu,sarga,sárga,"rgb(255, 241, 0)",38
Hungarian (magyar),hu,narancssarga,narancssárga,"rgb(255, 144, 0)",37
Hungarian (magyar),hu,magenta,magenta,"rgb(255, 0, 166)",25
Hungarian (magyar),hu,vilagoskek,világoskék,"rgb(0, 194, 255)",24
Hungarian (magyar),hu,rozsaszin,rózsaszín,"rgb(255, 0, 177)",21
Hungarian (magyar),hu,turkiz,türkiz,"rgb(0, 255, 236)",20
Hungarian (magyar),hu,sotetkek,sötétkék,"rgb(0, 17, 255)",16
Hungarian (magyar),hu,narancs,narancs,"rgb(255, 138, 0)",14
Hungarian (magyar),hu,ciklamen,ciklámen,"rgb(255, 0, 151)",13
Hungarian (magyar),hu,pink,pink,"rgb(255, 0, 156)",13
Hungarian (magyar),hu,kekeszold,kékeszöld,"rgb(0, 255, 161)",12
Hungarian (magyar),hu,citromsarga,citromsárga,"rgb(255, 245, 0)",12
Hungarian (magyar),hu,neonzold,neonzöld,"rgb(92, 255, 0)",11
Hungarian (magyar),hu,vilagoszold,világoszöld,"rgb(0, 255, 66)",10
Hungarian (magyar),hu,voros,vörös,"rgb(255, 0, 48)",10
Hungarian (magyar),hu,turkizkek,türkizkék,"rgb(0, 247, 255)",9
Hungarian (magyar),hu,kiralykek,királykék,"rgb(0, 32, 255)",9
Indonesian (Bahasa Indonesia),id,birumuda,biru muda,"rgb(0, 204, 255)",67
